race,stench,sound,heat,intelligence,height,weight,strength,alignment,flight,bribe
orc,21,14,11,7,387,310,2217,evil,0,
orc,22,17,6,11,338,340,2232,evil,0,
wingedrat,14,17,9,12,158,224,1122,evil,1,
wingedrat,16,13,9,9,178,179,909,evil,1,
halfling,15,3,14,14,115,99,156,good,0,
human,15,10,9,26,210,95,303,neutral,0,152.0
orc,21,20,11,8,320,316,2184,evil,0,
lizard,18,11,-3,10,214,137,820,evil,0,
orc,17,18,10,6,354,357,2445,evil,0,
orc,21,8,9,4,345,330,2253,evil,0,
orc,26,23,12,11,335,347,2318,evil,0,
lizard,21,14,-2,11,215,142,868,evil,0,
halfling,17,13,13,17,124,115,177,good,0,
wingedrat,7,17,16,10,143,224,1070,evil,1,
orc,17,20,14,10,347,372,2508,evil,0,
human,12,10,10,18,222,96,317,neutral,0,139.0
wingedrat,17,17,17,13,139,164,809,evil,1,
human,14,12,14,20,201,100,300,neutral,0,142.0
human,14,13,10,19,220,98,302,neutral,0,141.0
orc,21,18,7,7,375,339,2330,evil,0,
lizard,19,20,-3,11,223,113,801,evil,0,
orc,22,13,8,3,337,324,2317,evil,0,
halfling,9,11,9,11,137,99,167,good,0,
halfling,12,2,13,19,128,93,157,good,0,
human,13,15,11,15,207,110,317,neutral,0,133.0
human,14,12,12,21,251,110,364,neutral,0,144.0
human,18,9,10,19,240,93,338,neutral,0,133.0
human,14,16,16,23,207,113,338,neutral,0,148.0
halfling,7,9,16,14,112,102,158,good,0,
human,10,12,12,19,237,115,358,neutral,0,143.0
wingedrat,20,15,17,12,137,180,861,evil,1,
orc,19,15,13,6,344,340,2325,evil,0,
human,12,6,10,20,226,94,307,neutral,0,144.0
orc,20,13,8,7,333,339,2256,evil,0,
wingedrat,13,19,18,15,178,167,910,evil,1,
human,15,16,17,23,228,97,324,neutral,0,149.0
lizard,14,16,3,12,212,118,796,evil,0,
lizard,15,17,3,8,215,120,811,evil,0,
human,13,17,13,18,218,84,307,neutral,0,139.0
wingedrat,17,9,12,13,167,211,1057,evil,1,
lizard,14,13,2,11,213,155,944,evil,0,
halfling,12,6,6,16,130,102,167,good,0,
human,12,11,9,18,228,104,322,neutral,0,140.0
lizard,15,7,4,14,211,153,863,evil,0,
lizard,23,15,5,13,230,140,909,evil,0,
lizard,19,15,-2,14,222,118,806,evil,0,
wingedrat,16,11,12,16,152,174,880,evil,1,
wingedrat,12,9,19,13,144,209,1010,evil,1,
wingedrat,12,17,9,12,186,212,1075,evil,1,
human,13,14,10,23,203,106,306,neutral,0,151.0
orc,23,18,5,14,317,343,2303,evil,0,
human,14,15,14,25,226,104,329,neutral,0,154.0
human,11,13,14,14,219,114,330,neutral,0,131.0
orc,16,22,9,3,338,348,2371,evil,0,
orc,22,20,12,9,337,343,2315,evil,0,
halfling,13,10,11,18,135,93,160,good,0,
human,7,7,12,18,213,113,325,neutral,0,145.0
orc,16,20,10,1,325,355,2408,evil,0,
lizard,22,13,0,12,241,120,873,evil,0,
human,14,13,11,21,228,104,320,neutral,0,145.0
human,12,15,12,17,231,98,320,neutral,0,135.0
wingedrat,13,18,13,12,154,249,1129,evil,1,
halfling,8,6,11,12,130,87,152,good,0,
orc,21,24,11,7,330,335,2261,evil,0,
orc,15,24,13,8,337,328,2294,evil,0,
human,16,11,17,20,214,116,336,neutral,0,140.0
lizard,14,17,-3,13,221,128,877,evil,0,
orc,19,15,12,15,339,349,2343,evil,0,
halfling,12,15,7,13,124,106,168,good,0,
lizard,15,21,3,9,208,147,853,evil,0,
wingedrat,19,13,14,15,156,209,1020,evil,1,
human,13,14,14,23,219,115,346,neutral,0,155.0
human,6,10,12,20,222,111,332,neutral,0,149.0
lizard,23,16,-3,15,204,119,767,evil,0,
lizard,20,21,-8,14,228,128,872,evil,0,
halfling,8,7,7,18,132,114,180,good,0,
lizard,16,16,9,13,218,151,901,evil,0,
halfling,8,10,15,15,144,109,181,good,0,
wingedrat,19,12,14,14,164,172,895,evil,1,
lizard,13,17,6,13,222,121,793,evil,0,
halfling,14,13,13,13,117,84,142,good,0,
halfling,16,11,16,16,115,111,168,good,0,
lizard,19,10,0,7,210,129,857,evil,0,
orc,27,22,14,10,325,315,2158,evil,0,
halfling,6,11,12,9,113,117,173,good,0,
human,15,10,12,17,229,108,333,neutral,0,133.0
halfling,15,9,11,17,127,99,162,good,0,
halfling,8,11,15,18,128,88,152,good,0,
wingedrat,13,14,9,5,163,185,977,evil,1,
lizard,8,19,-4,15,210,107,698,evil,0,
lizard,23,18,4,10,214,135,836,evil,0,
lizard,17,18,10,9,227,141,922,evil,0,
wingedrat,16,16,14,13,161,229,1073,evil,1,
human,13,11,10,21,210,104,312,neutral,0,147.0
lizard,11,17,9,15,229,133,829,evil,0,
human,8,10,14,18,233,102,336,neutral,0,142.0
halfling,17,5,9,16,114,94,151,good,0,
halfling,11,14,16,16,134,100,167,good,0,
orc,20,17,11,5,356,317,2224,evil,0,
wingedrat,15,18,16,12,164,208,1026,evil,1,
halfling,12,15,10,12,123,101,162,good,0,
lizard,22,20,4,14,221,134,886,evil,0,
human,11,14,14,20,221,93,306,neutral,0,145.0
halfling,11,6,15,16,137,114,182,good,0,
lizard,18,15,7,8,225,108,786,evil,0,
lizard,12,12,4,10,197,89,671,evil,0,
orc,20,22,15,9,331,300,2128,evil,0,
wingedrat,11,17,15,13,166,195,1000,evil,1,
human,14,10,16,16,224,99,307,neutral,0,131.0
orc,17,25,11,13,339,330,2294,evil,0,
wingedrat,18,15,20,6,192,200,1023,evil,1,
orc,15,26,6,8,317,329,2251,evil,0,
orc,24,22,11,9,331,343,2272,evil,0,
human,15,10,17,23,234,110,341,neutral,0,150.0
human,11,13,14,20,207,112,323,neutral,0,147.0
wingedrat,15,15,11,15,166,202,953,evil,1,
wingedrat,17,10,14,16,150,190,935,evil,1,
lizard,15,14,-6,12,201,128,820,evil,0,
lizard,21,11,4,12,232,147,910,evil,0,
wingedrat,11,15,9,10,148,213,982,evil,1,
halfling,9,8,5,19,133,90,156,good,0,
orc,20,22,15,11,345,342,2333,evil,0,
wingedrat,16,13,14,13,173,221,1056,evil,1,
human,9,10,13,16,243,117,359,neutral,0,139.0
halfling,10,8,17,17,114,81,138,good,0,
lizard,18,13,-1,13,226,116,739,evil,0,
wingedrat,16,14,17,15,169,231,1072,evil,1,
lizard,12,17,8,11,229,130,845,evil,0,
human,13,14,13,19,204,109,308,neutral,0,140.0
lizard,14,17,-5,15,232,145,904,evil,0,
wingedrat,15,15,15,15,147,214,1011,evil,1,
human,16,8,12,19,239,98,318,neutral,0,135.0
orc,16,20,7,13,341,333,2259,evil,0,
halfling,17,5,13,17,129,101,165,good,0,
halfling,14,8,18,14,119,85,144,good,0,
wingedrat,14,13,12,4,149,200,910,evil,1,
lizard,22,13,0,12,224,133,813,evil,0,
human,10,10,13,25,212,91,296,neutral,0,160.0
halfling,16,7,13,12,141,100,170,good,0,
lizard,21,9,1,17,230,130,879,evil,0,
wingedrat,16,18,12,13,159,220,1106,evil,1,
lizard,16,11,3,10,211,137,822,evil,0,
human,15,7,14,18,226,109,329,neutral,0,134.0
lizard,13,18,5,14,232,131,904,evil,0,
human,12,7,13,21,239,115,354,neutral,0,148.0
wingedrat,13,14,21,8,166,213,1017,evil,1,
human,4,7,8,17,195,101,290,neutral,0,146.0
orc,23,14,12,11,319,298,2047,evil,0,
human,13,12,14,17,243,110,342,neutral,0,138.0
human,9,13,11,22,226,108,332,neutral,0,152.0
wingedrat,9,12,14,9,149,220,1029,evil,1,
lizard,16,12,5,14,215,121,790,evil,0,
halfling,10,14,11,17,122,92,153,good,0,
wingedrat,15,10,15,12,150,240,1112,evil,1,
lizard,12,15,-1,14,230,131,875,evil,0,
halfling,10,10,12,12,123,139,200,good,0,
orc,20,21,12,11,354,345,2333,evil,0,
orc,22,19,7,11,300,311,2069,evil,0,
halfling,18,8,14,15,147,106,179,good,0,
human,15,7,6,20,218,102,318,neutral,0,139.0
human,15,11,14,20,215,104,319,neutral,0,143.0
orc,20,23,7,15,351,318,2114,evil,0,
wingedrat,13,16,15,15,150,191,927,evil,1,
human,10,16,10,21,216,109,312,neutral,0,153.0
lizard,21,16,1,16,222,129,823,evil,0,
wingedrat,18,17,15,12,170,216,1128,evil,1,
lizard,16,15,1,13,239,137,877,evil,0,
wingedrat,15,15,14,13,141,239,1111,evil,1,
orc,18,21,2,17,313,328,2180,evil,0,
wingedrat,19,17,15,14,140,238,1108,evil,1,
human,14,15,10,18,212,93,310,neutral,0,139.0
lizard,16,13,6,7,221,121,807,evil,0,
halfling,12,9,12,12,139,97,166,good,0,
human,10,13,13,21,218,105,324,neutral,0,148.0
lizard,14,13,2,10,217,103,749,evil,0,
orc,15,15,12,9,362,341,2447,evil,0,
lizard,21,14,-2,12,237,130,818,evil,0,
halfling,15,14,16,12,101,130,180,good,0,
halfling,14,11,7,9,134,116,183,good,0,
orc,23,13,7,13,333,331,2273,evil,0,
human,10,10,14,22,217,100,315,neutral,0,150.0
halfling,11,12,14,15,138,104,173,good,0,
wingedrat,16,17,17,14,130,210,960,evil,1,
halfling,12,8,16,17,129,99,163,good,0,
lizard,23,12,3,13,225,126,796,evil,0,
halfling,7,7,3,14,121,86,146,good,0,
orc,25,20,12,7,353,311,2212,evil,0,
human,13,6,13,20,219,101,316,neutral,0,141.0
wingedrat,15,18,19,14,166,237,1122,evil,1,
human,14,11,16,20,208,98,304,neutral,0,142.0
wingedrat,16,15,12,10,152,197,928,evil,1,
wingedrat,17,14,12,7,154,197,962,evil,1,
halfling,8,8,9,18,129,98,162,good,0,
orc,21,17,12,11,343,314,2289,evil,0,
human,14,14,11,16,224,93,312,neutral,0,134.0
orc,25,21,11,12,328,375,2390,evil,0,
human,14,16,13,22,222,102,318,neutral,0,149.0
human,6,17,9,20,192,101,288,neutral,0,152.0
orc,12,22,6,6,318,334,2226,evil,0,
orc,23,18,10,9,345,337,2330,evil,0,
human,14,12,16,19,211,112,322,neutral,0,144.0
wingedrat,15,17,10,14,156,206,1020,evil,1,
halfling,16,10,10,17,115,108,165,good,0,
orc,23,16,8,5,316,348,2236,evil,0,
human,11,9,10,23,201,105,320,neutral,0,153.0
halfling,11,11,10,13,122,97,158,good,0,
wingedrat,14,16,10,11,150,207,940,evil,1,
halfling,15,9,13,18,137,95,163,good,0,
halfling,16,8,12,13,122,77,138,good,0,
lizard,16,15,-4,13,210,103,739,evil,0,
lizard,19,7,-5,14,224,143,878,evil,0,
human,12,17,17,19,222,95,310,neutral,0,144.0
halfling,11,12,17,15,121,105,165,good,0,
lizard,21,13,-2,16,218,121,814,evil,0,
human,8,9,12,16,225,94,314,neutral,0,136.0
orc,23,17,13,10,345,330,2294,evil,0,
human,12,9,7,16,215,90,294,neutral,0,135.0
orc,19,25,14,1,322,306,2128,evil,0,
lizard,16,12,-8,10,225,147,906,evil,0,
lizard,16,11,4,9,225,127,865,evil,0,
halfling,14,8,10,13,132,89,155,good,0,
wingedrat,14,20,14,14,153,208,988,evil,1,
wingedrat,15,19,17,12,156,184,923,evil,1,
human,7,10,13,22,225,108,334,neutral,0,153.0
orc,18,21,14,8,336,325,2178,evil,0,
halfling,13,12,10,18,137,107,175,good,0,
orc,19,19,13,13,318,307,2126,evil,0,
wingedrat,13,22,13,14,158,198,973,evil,1,
human,14,15,13,19,231,114,341,neutral,0,145.0
wingedrat,12,15,14,12,162,202,1008,evil,1,
wingedrat,16,17,13,9,166,200,1016,evil,1,
human,13,13,13,17,218,118,343,neutral,0,140.0
halfling,15,13,15,16,120,126,186,good,0,
wingedrat,18,18,14,12,163,176,915,evil,1,
orc,17,19,8,9,360,346,2393,evil,0,
halfling,7,10,17,12,110,113,168,good,0,
orc,21,23,10,7,320,306,2088,evil,0,
orc,19,28,8,8,319,343,2265,evil,0,
halfling,13,10,6,12,132,91,157,good,0,
halfling,14,12,11,12,132,75,141,good,0,
orc,14,21,9,9,313,325,2197,evil,0,
orc,21,18,4,7,363,323,2388,evil,0,
human,17,15,15,21,244,103,334,neutral,0,143.0
lizard,16,18,4,15,213,123,800,evil,0,
wingedrat,17,16,14,7,162,250,1160,evil,1,
human,13,16,14,21,203,108,313,neutral,0,151.0
halfling,14,17,13,18,124,97,159,good,0,
wingedrat,6,13,15,13,172,240,1159,evil,1,
wingedrat,13,18,18,15,155,167,843,evil,1,
orc,20,8,13,16,349,310,2223,evil,0,
halfling,9,14,14,10,128,127,191,good,0,
human,14,14,11,19,209,107,310,neutral,0,137.0
wingedrat,19,20,11,16,184,190,975,evil,1,
wingedrat,19,11,9,17,164,226,1056,evil,1,
halfling,14,6,8,14,110,102,157,good,0,
halfling,14,11,14,15,120,62,122,good,0,
halfling,10,7,12,10,155,106,183,good,0,
halfling,12,11,12,15,144,89,161,good,0,
human,15,15,14,21,237,107,339,neutral,0,142.0
halfling,18,-1,4,12,106,120,173,good,0,
wingedrat,16,16,15,10,164,218,1024,evil,1,
halfling,17,11,10,19,132,102,168,good,0,
lizard,20,18,8,18,234,122,845,evil,0,
human,18,12,14,21,220,99,315,neutral,0,142.0
human,9,13,16,24,216,110,340,neutral,0,160.0
human,11,9,9,19,227,95,311,neutral,0,139.0
orc,20,26,9,11,366,362,2485,evil,0,
human,10,12,12,16,230,99,330,neutral,0,138.0
orc,25,15,8,13,345,303,2071,evil,0,
orc,19,20,11,10,339,309,2220,evil,0,
halfling,11,12,13,10,142,108,179,good,0,
halfling,13,7,13,12,118,100,159,good,0,
human,16,13,13,25,215,94,320,neutral,0,152.0
wingedrat,21,11,9,13,149,189,905,evil,1,
halfling,13,5,14,14,113,94,150,good,0,
halfling,13,13,14,16,139,101,170,good,0,
lizard,12,9,2,8,221,136,859,evil,0,
wingedrat,13,15,13,11,138,203,1015,evil,1,
wingedrat,20,11,17,14,165,204,995,evil,1,
halfling,16,8,14,14,142,93,164,good,0,
human,7,14,12,17,232,96,310,neutral,0,146.0
human,8,15,13,23,193,109,298,neutral,0,155.0
halfling,11,12,11,15,140,125,195,good,0,
orc,13,24,8,9,307,320,2125,evil,0,
lizard,20,15,9,17,223,123,825,evil,0,
halfling,13,13,14,17,128,132,196,good,0,
wingedrat,10,12,19,17,159,211,1013,evil,1,
wingedrat,14,16,16,16,161,195,937,evil,1,
orc,25,25,8,5,313,317,2179,evil,0,
orc,20,23,13,-1,349,318,2172,evil,0,
halfling,10,14,12,16,119,98,157,good,0,
orc,19,17,12,12,329,306,2141,evil,0,
lizard,19,15,5,10,207,111,749,evil,0,
human,12,17,12,14,239,118,363,neutral,0,130.0
halfling,14,6,9,15,141,129,199,good,0,
halfling,7,13,13,9,115,93,150,good,0,
lizard,13,18,4,9,222,121,853,evil,0,
lizard,16,19,3,15,205,141,896,evil,0,
halfling,12,16,12,12,134,134,201,good,0,
lizard,15,15,4,10,223,109,736,evil,0,
lizard,15,18,2,14,226,126,786,evil,0,
lizard,18,15,4,15,229,133,859,evil,0,
lizard,19,15,7,9,231,129,879,evil,0,
orc,24,17,8,11,306,311,2055,evil,0,
lizard,19,19,3,14,220,118,829,evil,0,
wingedrat,13,18,17,10,153,205,1020,evil,1,
human,14,11,18,24,230,109,335,neutral,0,152.0
wingedrat,17,16,13,15,172,226,1059,evil,1,
lizard,22,11,2,15,216,133,823,evil,0,
wingedrat,14,11,10,14,140,208,972,evil,1,
wingedrat,10,14,14,12,150,207,961,evil,1,
human,10,14,10,24,220,97,299,neutral,0,156.0
orc,17,21,8,9,331,304,2181,evil,0,
lizard,20,11,5,15,220,141,926,evil,0,
human,12,14,14,16,214,108,308,neutral,0,133.0
wingedrat,11,14,7,16,176,185,893,evil,1,
halfling,5,7,12,10,119,116,175,good,0,
lizard,19,15,0,12,215,125,826,evil,0,
lizard,21,11,2,15,219,148,895,evil,0,
wingedrat,11,11,16,13,169,170,910,evil,1,
orc,22,18,7,7,317,307,1989,evil,0,
orc,17,17,8,8,334,339,2287,evil,0,
wingedrat,17,17,12,12,177,213,1058,evil,1,
lizard,21,14,-1,11,221,132,848,evil,0,
human,15,12,11,20,212,117,338,neutral,0,142.0
human,9,11,12,20,227,107,320,neutral,0,145.0
lizard,16,11,6,14,230,140,891,evil,0,
human,13,12,16,20,249,101,340,neutral,0,146.0
halfling,11,12,14,13,134,97,164,good,0,
lizard,12,11,-2,8,221,139,920,evil,0,
human,14,6,7,27,221,104,322,neutral,0,160.0
orc,18,14,8,8,316,374,2370,evil,0,
wingedrat,13,9,19,13,167,211,1023,evil,1,
orc,26,25,10,8,337,325,2211,evil,0,
lizard,19,17,3,15,220,131,831,evil,0,
orc,18,27,12,8,356,322,2300,evil,0,
halfling,14,11,11,17,130,81,146,good,0,
lizard,17,13,6,13,224,145,896,evil,0,
halfling,15,8,6,13,126,81,144,good,0,
halfling,10,5,12,16,148,106,180,good,0,
orc,23,12,11,3,312,322,2165,evil,0,
wingedrat,16,18,13,12,152,208,1064,evil,1,
wingedrat,11,14,18,15,149,188,939,evil,1,
human,10,9,17,23,209,99,309,neutral,0,151.0
wingedrat,12,18,19,13,169,203,1000,evil,1,
