race,stench,sound,heat,intelligence,height,weight,strength,alignment,flight,bribe
lizard,16,17,-19,26,222,131,816,neutral,0,
human,11,13,10,29,212,98,313,neutral,0,143.0
wingedrat,20,15,18,14,132,209,991,evil,1,
human,13,11,7,36,227,96,310,neutral,0,151.0
wingedrat,27,13,28,16,170,237,1128,evil,1,
halfling,19,12,14,19,150,99,174,good,0,
human,13,13,12,31,197,108,294,neutral,0,147.0
lizard,17,19,-18,26,215,121,792,neutral,0,
wingedrat,30,16,22,9,169,206,964,evil,1,
orc,35,23,15,4,333,355,2354,evil,0,
human,15,18,8,38,224,109,335,neutral,0,155.0
human,12,9,11,26,205,103,301,neutral,0,137.0
human,12,9,14,37,237,101,320,neutral,0,151.0
lizard,20,16,-19,18,221,132,870,evil,0,
lizard,28,19,-25,26,216,152,926,evil,0,
human,13,13,11,27,212,101,305,neutral,0,135.0
lizard,25,22,-16,21,216,116,772,evil,0,
wingedrat,24,12,18,16,154,207,1002,evil,1,
lizard,17,17,-21,29,229,138,886,neutral,0,
wingedrat,26,8,25,10,173,189,949,evil,1,
wingedrat,19,15,10,14,164,189,995,evil,1,
lizard,23,17,-17,28,223,142,862,neutral,0,
human,13,15,5,31,215,100,311,neutral,0,143.0
wingedrat,21,18,19,9,147,220,1050,evil,1,
lizard,21,23,-14,22,223,108,783,neutral,0,
lizard,13,13,-14,25,225,146,916,neutral,0,
orc,48,29,6,8,343,349,2342,evil,0,
halfling,10,11,12,18,123,78,139,good,0,
lizard,24,19,-14,20,211,115,736,evil,0,
wingedrat,26,13,28,14,146,246,1094,evil,1,
orc,55,27,4,16,309,331,2239,evil,0,
halfling,15,6,12,17,126,114,177,good,0,
wingedrat,17,17,27,10,169,219,1063,evil,1,
human,16,14,12,22,245,92,326,neutral,0,131.0
wingedrat,20,18,21,14,177,199,940,evil,1,
halfling,19,11,11,17,145,112,184,good,0,
orc,44,30,3,9,324,319,2179,evil,0,
human,13,11,16,24,210,99,298,neutral,0,134.0
lizard,24,19,-18,24,210,108,747,neutral,0,
lizard,20,19,-17,23,238,133,865,neutral,0,
halfling,11,8,14,24,141,121,191,good,0,
halfling,15,8,11,23,105,136,188,good,0,
halfling,7,5,8,20,124,97,159,good,0,
wingedrat,33,12,23,12,165,214,1039,evil,1,
human,17,11,12,32,215,106,318,neutral,0,144.0
wingedrat,27,16,26,14,163,199,998,evil,1,
human,9,16,17,31,205,91,276,neutral,0,148.0
lizard,24,20,-18,23,226,120,815,evil,0,
orc,42,23,12,4,301,311,2031,evil,0,
human,9,11,14,37,231,84,293,neutral,0,156.0
wingedrat,26,10,22,15,162,170,914,evil,1,
human,10,15,13,36,213,119,342,neutral,0,152.0
wingedrat,15,19,24,11,163,198,979,evil,1,
wingedrat,22,11,18,10,185,193,1001,evil,1,
wingedrat,31,8,23,9,132,178,803,evil,1,
wingedrat,25,12,28,11,161,203,1006,evil,1,
halfling,12,5,8,21,109,90,144,good,0,
lizard,21,17,-23,16,220,151,895,evil,0,
wingedrat,28,12,25,10,155,214,1036,evil,1,
orc,47,27,8,10,357,319,2290,evil,0,
wingedrat,30,14,22,10,152,193,959,evil,1,
orc,50,19,14,9,331,320,2106,evil,0,
halfling,11,2,16,16,129,99,163,good,0,
human,13,8,17,31,223,106,329,neutral,0,146.0
lizard,26,19,-23,24,208,137,821,evil,0,
orc,44,22,10,13,348,325,2231,evil,0,
lizard,18,22,-11,25,212,124,807,neutral,0,
human,13,13,17,34,206,112,312,neutral,0,149.0
lizard,20,24,-10,19,217,118,779,evil,0,
halfling,17,12,14,17,119,85,144,good,0,
halfling,13,7,16,23,133,122,188,good,0,
wingedrat,28,17,19,6,155,232,1054,evil,1,
lizard,21,22,-11,21,208,117,769,neutral,0,
wingedrat,25,16,25,15,155,220,1044,evil,1,
halfling,16,9,11,25,132,95,161,good,0,
orc,58,34,13,11,344,348,2422,evil,0,
orc,52,29,7,14,343,345,2297,evil,0,
human,13,7,9,26,197,97,292,neutral,0,140.0
halfling,20,8,15,24,144,79,151,good,0,
halfling,12,7,10,26,127,87,150,good,0,
halfling,14,10,15,24,145,90,162,good,0,
lizard,26,10,-31,23,220,121,765,evil,0,
wingedrat,28,14,32,12,139,179,847,evil,1,
wingedrat,25,16,26,11,154,222,1052,evil,1,
lizard,27,23,-18,25,225,134,850,evil,0,
orc,56,28,10,12,347,334,2217,evil,0,
human,13,17,14,35,239,107,340,neutral,0,152.0
halfling,9,12,13,23,146,111,184,good,0,
orc,44,24,6,5,342,342,2331,evil,0,
lizard,26,14,-26,15,222,158,929,evil,0,
orc,41,23,7,11,357,356,2474,evil,0,
halfling,13,13,8,24,118,101,160,good,0,
orc,34,26,14,8,306,341,2212,evil,0,
lizard,23,17,-19,23,212,127,812,neutral,0,
halfling,17,13,13,33,120,110,170,good,0,
wingedrat,21,15,23,13,158,224,1056,evil,1,
halfling,10,15,12,25,112,115,171,good,0,
lizard,22,18,-23,25,228,131,839,neutral,0,
lizard,16,22,-17,24,232,116,833,neutral,0,
wingedrat,25,15,23,10,137,193,918,evil,1,
human,8,15,13,32,226,120,341,neutral,0,147.0
orc,45,21,8,11,313,345,2181,evil,0,
halfling,18,14,13,23,142,119,190,good,0,
orc,57,28,6,5,331,305,2060,evil,0,
human,10,18,14,34,216,94,294,neutral,0,150.0
human,10,16,12,25,231,108,339,neutral,0,135.0
wingedrat,23,12,20,13,128,162,805,evil,1,
wingedrat,17,17,13,14,163,211,985,evil,1,
halfling,13,3,14,23,106,64,117,good,0,
human,14,13,13,34,209,105,300,neutral,0,146.0
human,16,15,12,35,223,99,316,neutral,0,148.0
human,15,5,7,39,231,109,338,neutral,0,153.0
lizard,25,14,-9,17,236,123,855,evil,0,
orc,39,30,8,13,282,343,2158,evil,0,
wingedrat,25,13,22,16,162,166,882,evil,1,
human,11,12,11,31,207,98,295,neutral,0,149.0
lizard,22,21,-26,24,209,129,811,neutral,0,
human,15,18,10,32,203,97,300,neutral,0,147.0
halfling,16,10,13,19,120,78,138,good,0,
orc,47,22,4,10,335,334,2304,evil,0,
halfling,17,7,11,24,124,94,156,good,0,
halfling,17,8,13,26,121,95,155,good,0,
human,10,14,13,37,213,109,325,neutral,0,154.0
human,8,8,17,38,206,115,329,neutral,0,156.0
orc,48,28,9,-2,319,365,2364,evil,0,
wingedrat,27,13,22,11,157,196,918,evil,1,
halfling,15,9,12,22,129,107,171,good,0,
human,10,8,14,26,213,100,303,neutral,0,138.0
wingedrat,27,14,25,12,174,195,1002,evil,1,
wingedrat,24,20,27,7,165,174,845,evil,1,
orc,46,31,2,5,333,319,2215,evil,0,
halfling,16,12,10,22,134,114,181,good,0,
human,10,15,15,34,223,102,316,neutral,0,151.0
wingedrat,22,17,17,9,155,194,905,evil,1,
halfling,11,12,16,29,127,93,156,good,0,
halfling,16,8,12,21,138,76,145,good,0,
halfling,17,10,14,17,117,109,167,good,0,
lizard,23,20,-25,26,223,142,895,neutral,0,
human,10,13,7,34,220,98,312,neutral,0,146.0
lizard,24,25,-10,25,210,124,838,neutral,0,
halfling,11,10,13,32,122,104,165,good,0,
human,16,14,6,29,211,110,324,neutral,0,140.0
wingedrat,25,17,23,14,125,241,1080,evil,1,
halfling,16,10,13,15,119,108,167,good,0,
wingedrat,23,15,24,13,157,211,968,evil,1,
orc,49,26,11,6,343,350,2267,evil,0,
human,12,14,15,32,229,99,309,neutral,0,145.0
lizard,30,24,-19,15,222,141,850,evil,0,
wingedrat,21,14,27,12,165,228,1107,evil,1,
human,10,15,15,32,229,107,326,neutral,0,149.0
wingedrat,25,15,23,13,152,202,995,evil,1,
lizard,19,18,-14,23,198,146,849,neutral,0,
human,5,12,11,40,222,117,345,neutral,0,167.0
wingedrat,27,15,29,12,188,164,909,evil,1,
wingedrat,29,13,19,12,169,188,996,evil,1,
lizard,19,20,-17,15,222,122,828,evil,0,
halfling,14,6,13,28,115,123,180,good,0,
lizard,24,17,-13,25,221,133,846,neutral,0,
wingedrat,32,19,25,18,181,212,1037,evil,1,
wingedrat,14,13,24,8,142,190,900,evil,1,
wingedrat,31,16,19,14,159,194,894,evil,1,
halfling,7,14,8,26,116,120,178,good,0,
lizard,21,20,-17,24,228,117,785,neutral,0,
human,11,11,14,41,221,87,310,neutral,0,156.0
lizard,30,20,-21,20,215,139,902,evil,0,
lizard,23,16,-28,19,213,132,831,evil,0,
orc,62,30,11,6,315,339,2139,evil,0,
wingedrat,26,15,27,14,147,185,864,evil,1,
halfling,15,14,12,25,137,102,170,good,0,
wingedrat,22,10,17,11,175,195,1025,evil,1,
orc,43,18,2,13,312,319,2048,evil,0,
wingedrat,27,11,22,8,156,188,867,evil,1,
lizard,23,21,-20,25,211,114,763,neutral,0,
lizard,28,20,-10,20,219,99,773,evil,0,
human,12,15,15,30,209,103,314,neutral,0,145.0
halfling,19,5,8,15,136,87,155,good,0,
wingedrat,32,18,26,12,142,203,904,evil,1,
orc,54,27,12,4,313,313,2161,evil,0,
orc,38,24,12,10,352,312,2193,evil,0,
wingedrat,23,10,17,11,163,199,959,evil,1,
human,12,8,13,37,225,110,339,neutral,0,149.0
lizard,22,13,-22,19,217,129,814,evil,0,
lizard,26,18,-16,18,218,146,876,evil,0,
human,10,9,15,37,227,104,326,neutral,0,153.0
orc,60,22,9,9,312,323,2180,evil,0,
orc,44,27,13,5,311,332,2229,evil,0,
lizard,21,17,-13,29,222,128,839,neutral,0,
orc,45,27,5,9,366,325,2263,evil,0,
orc,43,22,10,6,339,302,2103,evil,0,
human,18,14,11,31,231,103,328,neutral,0,144.0
wingedrat,26,11,26,10,153,171,881,evil,1,
halfling,16,6,8,25,140,86,156,good,0,
human,15,6,11,29,223,98,317,neutral,0,140.0
halfling,17,8,13,25,115,97,154,good,0,
halfling,12,8,13,24,125,126,188,good,0,
halfling,16,15,13,22,120,122,182,good,0,
wingedrat,37,18,21,10,151,187,957,evil,1,
halfling,13,6,17,21,135,110,177,good,0,
orc,44,29,12,14,330,314,2088,evil,0,
human,13,14,12,35,219,95,306,neutral,0,148.0
orc,57,23,14,13,319,313,2106,evil,0,
halfling,19,12,13,27,122,116,177,good,0,
lizard,18,24,-14,31,236,119,797,neutral,0,
orc,39,25,5,6,355,308,2154,evil,0,
wingedrat,26,14,24,13,145,169,891,evil,1,
halfling,18,13,13,27,139,118,187,good,0,
orc,43,29,13,10,330,359,2351,evil,0,
human,12,13,8,33,224,91,304,neutral,0,145.0
human,10,15,15,26,208,115,327,neutral,0,139.0
halfling,17,6,13,23,114,101,158,good,0,
wingedrat,19,17,20,10,147,231,1061,evil,1,
human,13,16,9,27,222,94,293,neutral,0,138.0
lizard,20,14,-17,23,236,131,817,neutral,0,
wingedrat,23,15,25,8,154,182,904,evil,1,
human,15,10,14,28,216,104,315,neutral,0,140.0
halfling,19,10,13,22,120,119,179,good,0,
orc,46,20,17,4,336,340,2225,evil,0,
halfling,16,2,10,28,134,101,168,good,0,
human,12,13,13,36,236,102,340,neutral,0,156.0
wingedrat,28,19,19,13,121,168,782,evil,1,
human,13,13,12,37,211,104,318,neutral,0,152.0
orc,35,21,16,15,379,335,2343,evil,0,
human,12,11,10,28,218,109,330,neutral,0,139.0
halfling,13,13,10,27,137,131,199,good,0,
human,9,15,7,35,225,105,329,neutral,0,154.0
human,15,16,16,35,224,104,330,neutral,0,146.0
human,11,17,12,35,200,100,297,neutral,0,149.0
human,17,15,9,33,209,109,310,neutral,0,145.0
orc,40,27,6,6,341,318,2197,evil,0,
orc,54,27,7,9,323,334,2267,evil,0,
wingedrat,28,14,18,13,167,212,1012,evil,1,
lizard,26,11,-24,22,223,131,841,evil,0,
wingedrat,23,15,22,17,165,225,1059,evil,1,
halfling,11,6,15,19,128,79,143,good,0,
lizard,20,19,-17,23,220,120,800,neutral,0,
lizard,24,21,-21,22,225,122,816,evil,0,
orc,48,23,7,9,324,275,1971,evil,0,
lizard,25,15,-17,17,214,106,730,evil,0,
lizard,23,18,-16,27,244,123,853,neutral,0,
human,7,12,10,26,250,107,345,neutral,0,141.0
wingedrat,21,16,18,10,161,203,998,evil,1,
halfling,16,8,12,24,120,128,188,good,0,
human,14,12,11,39,208,88,308,neutral,0,156.0
human,14,13,12,37,216,121,337,neutral,0,149.0
orc,46,23,7,14,322,325,2294,evil,0,
orc,49,35,5,3,309,299,2118,evil,0,
orc,43,23,13,13,326,339,2286,evil,0,
human,17,13,13,28,213,99,303,neutral,0,142.0
halfling,19,11,11,18,135,99,166,good,0,
lizard,21,20,-21,25,223,135,886,neutral,0,
orc,45,27,6,4,331,297,2008,evil,0,
wingedrat,21,13,29,13,140,217,1010,evil,1,
human,15,9,12,24,214,101,310,neutral,0,134.0
human,8,4,13,36,220,100,321,neutral,0,149.0
lizard,16,20,-24,22,222,141,835,neutral,0,
wingedrat,25,19,23,10,155,176,922,evil,1,
orc,42,30,6,8,293,356,2279,evil,0,
orc,39,27,11,7,353,278,2097,evil,0,
wingedrat,25,17,28,16,168,186,941,evil,1,
orc,59,29,12,12,363,296,2192,evil,0,
orc,51,30,8,5,340,335,2308,evil,0,
wingedrat,30,16,24,17,151,218,1004,evil,1,
human,15,14,11,36,240,105,325,neutral,0,149.0
orc,32,23,9,10,324,303,2100,evil,0,
orc,44,22,10,7,319,314,2223,evil,0,
lizard,29,21,-22,29,223,138,868,neutral,0,
human,10,11,12,26,234,110,340,neutral,0,142.0
human,14,15,7,33,228,109,343,neutral,0,151.0
lizard,18,18,-14,19,226,120,817,neutral,0,
human,10,8,10,37,222,103,308,neutral,0,149.0
halfling,16,12,15,24,134,96,163,good,0,
wingedrat,25,14,28,15,156,214,1040,evil,1,
halfling,19,15,16,14,116,72,130,good,0,
lizard,21,25,-21,19,231,125,860,evil,0,
human,16,12,11,31,222,103,318,neutral,0,141.0
orc,54,26,11,12,384,334,2363,evil,0,
human,11,16,12,28,217,90,289,neutral,0,144.0
human,9,7,10,47,214,101,306,neutral,0,164.0
orc,47,22,10,4,351,296,2185,evil,0,
orc,47,18,13,10,331,313,2181,evil,0,
lizard,18,24,-19,20,215,120,755,neutral,0,
wingedrat,33,11,18,11,173,207,1021,evil,1,
lizard,19,23,-18,20,223,142,883,neutral,0,
human,13,10,10,33,228,96,324,neutral,0,145.0
lizard,24,14,-18,26,230,137,871,neutral,0,
halfling,12,7,8,24,118,67,126,good,0,
wingedrat,24,16,29,12,124,195,851,evil,1,
wingedrat,31,18,26,11,164,235,1158,evil,1,
wingedrat,28,19,18,10,147,175,880,evil,1,
halfling,17,2,7,24,123,109,170,good,0,
lizard,22,17,-22,15,208,113,730,evil,0,
human,13,10,11,41,219,106,328,neutral,0,160.0
lizard,28,23,-23,28,205,129,789,neutral,0,
halfling,15,9,8,17,140,101,171,good,0,
orc,50,32,1,4,344,329,2219,evil,0,
human,16,9,12,40,213,118,331,neutral,0,149.0
halfling,19,10,16,25,113,87,143,good,0,
orc,37,25,10,11,347,312,2137,evil,0,
wingedrat,25,15,32,6,174,212,1004,evil,1,
orc,62,22,13,10,359,300,2098,evil,0,
halfling,15,9,13,21,138,114,183,good,0,
orc,44,29,6,7,365,342,2356,evil,0,
halfling,21,12,8,21,160,84,164,good,0,
halfling,8,6,7,29,125,79,141,good,0,
halfling,20,8,16,26,138,95,164,good,0,
lizard,24,19,-19,29,230,128,798,neutral,0,
wingedrat,35,18,23,13,138,239,1061,evil,1,
human,16,12,5,38,225,98,311,neutral,0,152.0
orc,48,33,12,4,350,334,2230,evil,0,
orc,42,33,11,10,343,304,2157,evil,0,
wingedrat,25,11,30,8,158,179,900,evil,1,
halfling,19,12,9,26,125,88,150,good,0,
lizard,27,16,-12,22,228,142,857,evil,0,
halfling,15,9,12,26,128,102,166,good,0,
lizard,26,20,-23,19,221,129,874,evil,0,
orc,50,35,11,11,331,304,2064,evil,0,
human,10,16,10,36,229,107,340,neutral,0,151.0
orc,40,32,11,10,290,314,2075,evil,0,
halfling,12,9,12,23,123,122,183,good,0,
lizard,21,18,-22,22,222,100,755,neutral,0,
orc,34,32,8,9,316,347,2221,evil,0,
human,13,14,14,30,225,103,331,neutral,0,144.0
lizard,25,22,-15,26,209,114,792,neutral,0,
lizard,25,15,-13,25,214,132,845,neutral,0,
lizard,27,24,-19,25,220,125,781,evil,0,
halfling,13,12,10,18,115,98,155,good,0,
orc,59,32,13,7,324,366,2386,evil,0,
lizard,15,15,-15,23,212,134,843,neutral,0,
orc,47,26,12,3,360,365,2419,evil,0,
lizard,25,17,-15,26,219,119,836,neutral,0,
orc,32,32,11,10,324,328,2161,evil,0,
wingedrat,30,19,23,15,154,200,971,evil,1,
orc,52,27,9,8,326,313,2171,evil,0,
halfling,7,7,16,26,133,85,151,good,0,
orc,29,25,10,8,322,369,2370,evil,0,
halfling,17,12,12,16,127,119,182,good,0,
wingedrat,31,20,27,9,165,154,832,evil,1,
halfling,16,9,16,26,139,95,164,good,0,
wingedrat,27,15,16,9,185,235,1166,evil,1,
lizard,23,18,-23,27,229,119,847,neutral,0,
halfling,16,10,7,22,141,95,165,good,0,
halfling,17,13,14,25,132,140,206,good,0,
human,13,11,11,29,217,98,314,neutral,0,140.0
wingedrat,27,8,28,9,171,158,852,evil,1,
wingedrat,26,13,26,16,172,216,1095,evil,1,
lizard,20,19,-18,26,229,135,914,neutral,0,
wingedrat,23,16,26,17,164,182,963,evil,1,
halfling,19,8,14,18,120,100,160,good,0,
orc,34,22,6,8,333,320,2219,evil,0,
human,9,14,16,41,214,98,295,neutral,0,161.0
lizard,22,19,-23,26,227,138,884,neutral,0,
halfling,15,7,8,27,103,109,160,good,0,
halfling,16,9,12,11,125,101,163,good,0,
halfling,13,5,10,31,146,103,176,good,0,
orc,58,23,10,11,345,348,2379,evil,0,
orc,34,26,8,7,319,364,2356,evil,0,
lizard,27,15,-24,27,218,123,806,neutral,0,
human,15,8,16,34,214,119,337,neutral,0,143.0
halfling,11,5,12,18,110,103,158,good,0,
human,12,16,16,39,237,100,319,neutral,0,152.0
lizard,23,16,-21,18,212,143,798,evil,0,
lizard,20,19,-18,31,221,144,827,neutral,0,
human,12,11,7,29,195,126,327,neutral,0,141.0
wingedrat,24,13,15,12,165,210,970,evil,1,
halfling,12,8,13,21,139,115,184,good,0,
halfling,12,9,12,22,144,92,164,good,0,
human,15,12,15,33,220,117,336,neutral,0,147.0
wingedrat,30,15,22,12,185,228,1110,evil,1,
halfling,15,8,12,23,135,80,147,good,0,
halfling,15,7,14,30,124,119,181,good,0,
wingedrat,29,17,18,13,178,180,953,evil,1,
lizard,22,19,-9,25,210,120,763,neutral,0,
halfling,13,11,16,27,139,109,178,good,0,
orc,51,24,14,14,333,328,2256,evil,0,
halfling,15,12,9,21,127,117,180,good,0,
human,9,16,8,27,238,111,353,neutral,0,140.0
orc,49,26,8,8,329,292,2090,evil,0,
human,9,12,12,33,217,110,333,neutral,0,148.0
human,12,12,13,36,233,94,320,neutral,0,152.0
wingedrat,29,8,21,13,175,201,1014,evil,1,
human,16,16,13,30,218,95,303,neutral,0,144.0
human,12,16,12,27,193,99,300,neutral,0,142.0
lizard,23,21,-15,20,234,121,826,evil,0,
wingedrat,33,11,30,12,157,222,1020,evil,1,
halfling,11,9,13,16,127,88,151,good,0,
orc,47,29,8,6,333,308,2132,evil,0,
orc,40,23,7,6,383,339,2363,evil,0,
halfling,14,12,8,20,129,117,181,good,0,
wingedrat,21,18,28,17,154,198,1004,evil,1,
human,12,12,17,35,247,113,371,neutral,0,145.0
halfling,10,12,7,24,110,94,149,good,0,
wingedrat,29,18,26,16,178,219,1042,evil,1,
halfling,15,6,15,18,129,87,151,good,0,
lizard,19,21,-19,28,228,117,811,neutral,0,
wingedrat,33,11,24,17,143,211,978,evil,1,
orc,65,39,12,7,320,342,2267,evil,0,
wingedrat,21,14,22,12,166,167,882,evil,1,
lizard,20,19,-12,21,230,121,796,neutral,0,
human,16,12,12,29,212,101,310,neutral,0,147.0
wingedrat,26,13,21,15,146,206,966,evil,1,
halfling,13,12,11,27,140,118,188,good,0,
human,11,11,14,39,208,99,301,neutral,0,152.0
lizard,18,16,-16,17,208,125,823,evil,0,
orc,52,33,10,9,350,315,2183,evil,0,
human,16,14,15,34,196,106,300,neutral,0,148.0
orc,39,29,9,5,341,323,2331,evil,0,
wingedrat,30,13,34,11,140,205,989,evil,1,
wingedrat,27,19,24,13,167,230,1119,evil,1,
wingedrat,28,16,18,9,166,189,956,evil,1,
lizard,18,28,-24,26,224,128,847,neutral,0,
human,10,14,12,31,208,119,329,neutral,0,145.0
human,12,15,7,29,215,93,292,neutral,0,143.0
wingedrat,35,19,24,13,148,214,966,evil,1,
halfling,12,11,15,33,120,92,152,good,0,
wingedrat,32,16,22,14,149,193,943,evil,1,
human,11,9,11,34,222,115,327,neutral,0,148.0
halfling,15,5,13,25,104,108,160,good,0,
orc,44,24,11,7,311,347,2212,evil,0,
wingedrat,28,13,18,15,149,228,991,evil,1,
human,13,11,12,33,232,107,351,neutral,0,151.0
human,13,11,16,35,230,112,342,neutral,0,146.0
